Year-Week,Year,Week,Date,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,Albania,Serbia,Andorra,Armenia,Georgia
2015-W34,2015,34,17/08/2015,"1,755","1,784","1,813",926,,261,"2,081","6,801","10,091",827,"10,619",105,520,657,73,"2,002",47,"2,524","1,376","6,698","1,787","4,127",337,923,948,"1,563",46,5,732,"1,152","10,320",85,357,"1,655",7,513,805
2015-W35,2015,35,24/08/2015,"1,919","1,838","1,963",901,,259,"2,055","6,954","10,306",929,"11,116",92,470,704,70,"2,282",63,"2,530","1,476","6,924","1,722","4,413",337,934,959,"1,458",25,5,720,"1,172","10,209",87,402,"1,777",6,489,755
2015-W36,2015,36,31/08/2015,"1,775","1,975","1,989",879,,248,"2,276","6,603","10,069",911,"11,352",121,438,697,73,"2,220",60,"2,513","1,389","6,922","1,803","4,554",315,928,916,"1,648",48,5,745,"1,151","9,063",125,372,"1,838",2,400,785
2015-W37,2015,37,07/09/2015,"1,917","1,727","1,922",913,,301,"2,040","6,660","10,400",909,"10,629",100,478,654,80,"2,192",61,"2,602","1,447","6,664","1,821","4,040",309,909,966,"1,552",38,6,712,"1,188","10,548",96,378,"1,633",3,441,851
2015-W38,2015,38,14/09/2015,"1,844","1,886","1,961",942,,285,"1,982","6,617","10,538","1,057","11,358",102,505,733,65,"2,379",53,"2,631","1,459","7,130","1,699","4,574",360,"1,004",978,"1,566",38,4,750,"1,130","10,357",116,366,"1,990",11,484,822
2015-W39,2015,39,21/09/2015,"1,932","1,728","1,915",963,,292,"1,919","6,898","10,649",891,"10,687",97,528,726,70,"2,147",54,"2,687","1,410","6,831","1,856","4,313",315,947,938,"1,633",45,6,709,"1,188","10,802",92,333,"1,685",8,441,762
2015-W40,2015,40,28/09/2015,"1,973","1,832","2,007",959,,301,"1,849","6,813","10,995",927,"11,228",84,488,741,65,"2,192",47,"2,744","1,494","7,163","1,914","4,342",341,904,956,"1,651",32,7,766,"1,235","10,677",138,395,"1,719",6,448,789
2015-W41,2015,41,05/10/2015,"2,019","1,930","2,035",927,,316,"2,101","7,055","11,328",914,"11,624",73,514,738,68,"2,332",54,"2,698","1,409","7,206","1,792","4,598",391,924,981,"1,528",27,5,752,"1,168","11,082",125,345,"1,842",9,444,800
2015-W42,2015,42,12/10/2015,"2,059","2,012","2,080",948,,296,"2,056","7,119","11,108",945,"11,389",95,555,859,66,"2,463",67,"2,712","1,481","7,868","1,809","4,917",354,975,"1,015","1,574",39,6,741,"1,220","10,762",116,326,"1,945",4,451,850
2015-W43,2015,43,19/10/2015,"2,038","2,065","2,098",997,,279,"2,072","7,267","11,507",949,"11,834",99,572,857,73,"2,437",63,"2,833","1,498","7,571","1,882","4,962",382,937,"1,045","1,698",52,1,752,"1,203","10,940",117,390,"1,886",1,539,939
2015-W44,2015,44,26/10/2015,"2,095","2,188","2,016",993,,270,"2,202","7,392","11,336",953,"11,722",103,550,806,84,"2,418",67,"2,828","1,433","7,348","1,883","4,984",408,"1,031",970,"1,658",38,6,745,"1,286","11,000",131,334,"2,008",7,511,934
2015-W45,2015,45,02/11/2015,"1,951","2,092","2,020",971,,277,"2,337","7,412","10,974","1,004","11,850",88,500,739,74,"2,425",37,"2,697","1,460","7,423","1,970","5,129",379,"1,008",964,"1,652",30,6,748,"1,169","11,290",121,399,"1,951",6,505,903
2015-W46,2015,46,09/11/2015,"1,934","2,221","2,023",985,,285,"2,363","7,325","10,608",951,"11,629",111,544,815,67,"2,315",60,"2,606","1,527","7,505","1,854","5,188",376,970,983,"1,710",45,7,753,"1,199","11,318",135,401,"1,879",3,548,930
2015-W47,2015,47,16/11/2015,"2,020","2,116","1,975",986,,256,"2,253","7,397","10,692",938,"11,689",106,520,757,78,"2,440",62,"2,809","1,486","7,442","1,912","5,074",358,956,959,"1,678",43,2,745,"1,257","11,156",130,419,"1,960",4,559,986
2015-W48,2015,48,23/11/2015,"2,021","2,027","1,979","1,083",,282,"2,222","7,849","11,159",955,"11,738",123,518,761,61,"2,389",69,"2,721","1,488","7,409","2,040","4,926",378,929,998,"1,691",53,4,831,"1,255","11,188",89,401,"1,895",2,597,"1,028"
2015-W49,2015,49,30/11/2015,"1,992","2,008","2,019","1,105",,258,"2,131","8,080","11,342",982,"12,501",109,537,786,59,"2,385",68,"2,762","1,509","7,588","2,088","5,043",370,948,"1,083","1,805",35,4,804,"1,307","11,726",124,422,"1,893",7,492,979
2015-W50,2015,50,07/12/2015,"2,113","2,127","2,048","1,033",,305,"2,306","8,032","11,411",953,"12,491",113,523,773,76,"2,418",61,"2,852","1,517","7,563","2,002","4,991",433,952,"1,058","1,669",40,4,816,"1,240","11,672",122,428,"1,821",6,608,"1,026"
2015-W51,2015,51,14/12/2015,"2,085","2,178","2,009","1,024",,318,"2,387","8,342","11,426",938,"12,463",124,567,786,83,"2,406",61,"2,881","1,538","7,472","2,131","5,179",359,"1,002","1,019","1,753",45,2,786,"1,208","12,113",123,452,"1,953",7,567,959
2015-W52,2015,52,21/12/2015,"2,031","2,158","2,029",994,,267,"2,480","8,031","11,321","1,033","12,560",118,597,870,56,"2,514",74,"2,593","1,545","7,604","2,102","5,249",347,"1,021","1,101","1,737",33,2,833,"1,294","9,786",129,436,"2,053",4,643,"1,017"
2015-W53,2015,53,28/12/2015,"2,123","2,149","2,156",986,,268,"2,569","8,427","12,017","1,046","13,218",115,581,900,83,"2,519",87,"2,918","1,537","7,816","2,331","5,361",401,"1,034","1,112","1,914",50,5,851,"1,318","8,741",125,500,"2,073",5,390,"1,048"
2016-W01,2016,01,01/01/2016,"2,244","2,441","2,222","1,103","18,467",322,"2,637","8,658","12,183","1,115","13,517",113,684,845,75,"2,823",86,"3,175","1,634","8,215","2,321","5,770",451,"1,072","1,184","1,860",44,11,870,"1,340","14,841",126,521,"2,324",5,340,"1,079"
2016-W02,2016,02,04/01/2016,"2,234","2,283","2,054","1,065","18,439",334,"2,638","8,671","12,247","1,032","13,055",122,649,896,81,"2,640",69,"3,077","1,626","7,920","2,332","5,345",439,948,"1,192","1,914",56,4,864,"1,243","13,126",129,443,"2,086",8,981,"1,119"
2016-W03,2016,03,11/01/2016,"2,295","2,280","2,175","1,046","18,627",301,"2,601","8,791","12,403","1,074","13,545",122,634,936,85,"2,562",82,"3,063","1,608","7,683","2,456","5,389",411,"1,026","1,249","1,958",51,11,939,"1,323","13,039",126,485,"2,075",7,771,"1,094"
2016-W04,2016,04,18/01/2016,"2,263","2,367","2,116","1,124","18,707",335,"2,652","8,491","12,065","1,114","13,388",125,670,906,83,"2,615",71,"3,201","1,578","7,977","2,332","5,514",457,982,"1,185","2,006",35,5,937,"1,351","12,869",155,441,"2,095",5,564,"1,050"
2016-W05,2016,05,25/01/2016,"2,180","2,303","2,137","1,083","18,493",319,"2,649","8,461","11,963","1,024","12,997",136,551,913,79,"2,483",73,"3,105","1,609","7,970","2,271","5,427",434,"1,045","1,183","1,909",46,3,881,"1,345","12,546",123,484,"2,096",3,663,"1,187"
2016-W06,2016,06,01/02/2016,"2,127","2,222","2,245","1,040","18,541",353,"2,594","8,556","12,059","1,063","13,168",132,557,891,72,"2,640",102,"3,036","1,650","8,145","2,351","5,203",426,"1,041","1,167","1,837",45,5,852,"1,340","12,676",124,444,"2,038",4,637,"1,108"
2016-W07,2016,07,08/02/2016,"2,121","2,103","2,160","1,062","18,483",276,"2,436","8,479","11,846",989,"12,685",136,581,836,85,"2,575",63,"3,030","1,621","7,928","2,345","5,264",421,"1,051","1,047","1,838",39,3,826,"1,313","11,988",122,471,"2,058",6,584,"1,094"
2016-W08,2016,08,15/02/2016,"2,230","2,093","2,214","1,124","18,475",313,"2,215","8,670","11,753",980,"12,709",92,565,862,65,"2,491",57,"3,319","1,581","7,861","2,296","5,186",406,"1,023","1,049","1,845",40,7,764,"1,380","12,689",116,428,"1,924",8,556,"1,003"
2016-W09,2016,09,22/02/2016,"2,336","1,957","2,235","1,143","18,926",317,"2,139","8,645","12,252",987,"12,772",116,608,826,82,"2,535",53,"3,185","1,714","8,002","2,391","5,114",427,"1,003","1,075","1,861",39,5,873,"1,320","12,710",130,469,"1,999",3,464,"1,028"
2016-W10,2016,10,29/02/2016,"2,264","2,091","2,096","1,149","18,888",293,"2,248","8,653","12,158","1,047","12,845",89,582,820,91,"2,496",64,"3,154","1,532","7,859","2,380","4,903",416,"1,009","1,023","1,810",51,5,762,"1,355","12,479",123,413,"1,917",10,511,956
2016-W11,2016,11,07/03/2016,"2,248","2,096","2,155","1,159","18,971",303,"2,255","8,811","12,309","1,034","12,887",108,604,826,86,"2,438",60,"3,063","1,516","7,824","2,288","5,115",411,"1,032","1,041","1,800",44,6,798,"1,278","12,457",118,414,"1,980",5,530,958
2016-W12,2016,12,14/03/2016,"2,364","2,025","2,148","1,074","18,826",263,"2,185","8,291","12,111","1,008","12,525",107,577,766,91,"2,481",66,"3,030","1,499","8,014","2,271","5,090",388,"1,026","1,097","1,795",42,6,802,"1,294","10,943",144,457,"1,919",10,548,"1,056"
2016-W13,2016,13,21/03/2016,"2,273","2,100","2,191","1,084","18,617",323,"2,259","8,375","12,212","1,086","12,725",118,606,824,82,"2,537",57,"3,038","1,598","8,025","2,214","5,225",441,999,"1,103","1,778",43,2,759,"1,269","11,723",115,404,"2,017",3,531,993
2016-W14,2016,14,28/03/2016,"2,080","2,125","2,138","1,023","18,244",312,"2,275","7,998","11,826","1,003","12,291",123,575,790,78,"2,456",68,"3,011","1,562","7,614","2,225","5,224",373,"1,017",980,"1,705",48,4,802,"1,242","13,046",136,401,"2,049",3,518,967
2016-W15,2016,15,04/04/2016,"2,160","1,925","2,075","1,071","17,712",307,"2,227","7,859","11,456",966,"11,822",109,566,804,70,"2,318",58,"2,773","1,520","7,510","2,166","4,758",339,971,"1,010","1,773",47,6,773,"1,224","12,732",107,380,"1,828",6,559,932
2016-W16,2016,16,11/04/2016,"2,049","1,944","1,949","1,010","16,775",298,"2,100","7,589","10,923",931,"11,594",90,544,793,71,"2,349",58,"2,754","1,413","7,107","1,989","4,860",399,"1,010","1,062","1,771",53,7,756,"1,139","12,280",111,403,"1,886",4,526,975
2016-W17,2016,17,18/04/2016,"1,996","1,968","2,114",985,"17,053",295,"2,081","7,462","10,963",940,"11,420",95,537,773,63,"2,364",54,"2,747","1,460","7,157","2,025","4,700",351,988,971,"1,604",49,3,755,"1,175","11,771",112,357,"1,865",7,523,896
2016-W18,2016,18,25/04/2016,"2,087","2,031","1,982","1,042","16,901",304,"2,246","7,606","11,097","1,005","11,595",102,520,767,76,"2,279",57,"2,753","1,447","7,399","1,954","4,918",367,"1,019",977,"1,619",37,5,748,"1,172","10,276",125,429,"1,833",2,502,938
2016-W19,2016,19,02/05/2016,"2,065","2,054","2,001","1,023","17,629",299,"2,209","7,374","10,931",912,"11,422",99,545,757,68,"2,370",67,"2,955","1,486","7,229","1,849","4,854",358,988,949,"1,586",39,6,711,"1,149","11,975",119,372,"1,900",11,485,957
2016-W20,2016,20,09/05/2016,"1,926","1,990","1,964",935,"16,601",288,"2,121","7,533","10,769",987,"10,950",95,537,723,77,"2,381",61,"2,673","1,453","6,925","2,045","4,646",346,934,963,"1,565",34,3,776,"1,176","11,207",99,360,"1,862",2,510,941
2016-W21,2016,21,16/05/2016,"1,946","2,010","2,000",975,"16,286",276,"2,027","7,304","10,720","1,003","11,509",91,527,813,82,"2,261",58,"2,712","1,505","7,254","1,971","4,821",355,"1,004","1,026","1,550",40,4,713,"1,227","10,987",110,374,"1,947",4,505,951
2016-W22,2016,22,23/05/2016,"1,885","1,992","2,042",953,"16,346",277,"2,199","7,255","10,266",963,"10,842",80,558,843,72,"2,285",67,"2,686","1,402","6,937","1,983","4,734",334,984,979,"1,541",45,9,679,"1,150","9,176",112,389,"1,835",8,536,909
2016-W23,2016,23,30/05/2016,"1,856","1,782","1,893",913,"15,799",258,"1,999","7,576","10,553",903,"11,030",86,492,727,62,"2,235",54,"2,590","1,360","6,611","1,906","4,399",347,885,913,"1,462",45,2,669,"1,104","11,149",128,354,"1,687",3,515,860
2016-W24,2016,24,06/06/2016,"1,851","2,012","1,915",920,"15,717",276,"2,175","7,140","10,154",906,"10,766",79,503,664,81,"2,151",53,"2,622","1,348","6,790","1,799","4,819",348,898,947,"1,541",40,3,729,"1,113","10,639",121,332,"1,863",4,470,878
2016-W25,2016,25,13/06/2016,"1,920","2,143","1,993",983,"16,910",270,"2,914","7,173","10,650",975,"11,442",125,586,760,71,"2,481",58,"2,601","1,452","7,563","1,916","5,692",335,"1,056",941,"1,573",33,2,725,"1,237","10,591",142,475,"2,013",11,504,846
2016-W26,2016,26,20/06/2016,"1,846","1,959","1,970",897,"15,699",263,"2,318","7,345","10,310",906,"11,247",91,527,860,49,"2,303",43,"2,611","1,338","6,864","1,893","4,683",334,899,998,"1,541",48,3,678,"1,172","10,492",120,394,"1,766",5,501,873
2016-W27,2016,27,27/06/2016,"1,899","1,806","1,886",924,"16,229",251,"2,155","7,505","10,712",874,"11,293",90,464,688,70,"2,102",65,"2,695","1,328","6,599","1,913","4,194",347,909,875,"1,549",46,0,756,"1,092","10,382",109,368,"1,647",6,484,755
2016-W28,2016,28,04/07/2016,"1,933","1,966","1,918",898,"16,172",270,"2,186","7,423","10,399",910,"11,324",104,490,675,80,"2,276",73,"2,630","1,323","6,873","1,934","4,501",370,958,939,"1,605",41,10,734,"1,164","10,631",98,375,"1,775",10,465,829
2016-W29,2016,29,11/07/2016,"2,030","1,826","1,981",971,"16,985",276,"1,993","7,377","11,162",904,"11,170",88,490,723,77,"2,210",50,"2,754","1,458","6,661","1,958","4,237",312,937,952,"1,616",54,8,685,"1,235","10,648",116,380,"1,807",3,534,857
2016-W30,2016,30,18/07/2016,"1,917","1,901","1,942",962,"16,157",264,"2,285","7,295","10,116",942,"11,042",96,474,785,74,"2,277",51,"2,541","1,424","7,267","2,054","4,577",342,933,955,"1,630",43,6,721,"1,181","10,574",123,377,"1,756",9,496,732
2016-W31,2016,31,25/07/2016,"1,801","1,971","1,827",902,"15,439",232,"2,324","7,425","10,061",874,"10,991",100,465,690,64,"2,221",47,"2,504","1,390","6,658","1,864","4,688",319,904,901,"1,574",33,7,709,"1,113","10,405",128,386,"1,667",12,433,918
2016-W32,2016,32,01/08/2016,"1,788","1,806","1,839",956,"15,487",280,"2,212","7,233","10,030",804,"10,606",102,474,665,69,"2,120",57,"2,560","1,359","6,715","2,091","4,159",326,874,920,"1,574",43,4,740,"1,150","10,403",100,316,"1,646",2,473,"1,023"
2016-W33,2016,33,08/08/2016,"1,976","1,804","1,949",914,"16,258",285,"2,122","7,102","10,451",930,"11,144",94,524,715,72,"2,222",62,"2,572","1,394","6,804","1,879","4,410",355,937,945,"1,567",44,5,717,"1,166","10,310",104,372,"1,774",7,495,906
2016-W34,2016,34,15/08/2016,"2,120","1,865","2,043",971,"17,147",278,"2,049","7,184","10,760",951,"11,193",85,550,760,69,"2,241",65,"2,706","1,408","7,039","1,914","4,296",343,909,"1,009","1,567",37,3,684,"1,131","10,600",119,356,"1,697",8,439,969
2016-W35,2016,35,22/08/2016,"1,866","1,759","1,918",922,"16,101",271,"2,013","7,100","10,313",911,"10,748",109,466,735,85,"2,320",54,"2,595","1,414","6,996","1,873","4,250",373,934,993,"1,686",42,11,723,"1,137","9,196",109,370,"1,770",6,454,878
2016-W36,2016,36,29/08/2016,"1,835","1,756","1,980",955,"16,116",283,"2,041","7,203","10,421",897,"10,479",90,494,709,71,"2,246",65,"2,587","1,380","6,981","1,864","4,471",332,954,991,"1,556",37,6,759,"1,184","10,657",124,320,"1,697",4,441,843
2016-W37,2016,37,05/09/2016,"1,938","1,819","1,930",932,"16,372",278,"1,971","6,641","10,442",903,"10,584",101,514,653,73,"2,365",57,"2,730","1,392","6,744","1,707","4,497",363,"1,000",920,"1,536",51,2,714,"1,103","10,416",105,339,"1,749",5,435,926
2016-W38,2016,38,12/09/2016,"1,769","1,806","1,834",904,"15,606",295,"1,882","6,956","10,499",876,"10,321",108,509,732,61,"2,263",67,"2,500","1,376","6,765","1,835","4,234",358,948,"1,017","1,531",57,6,681,"1,180","10,145",117,340,"1,724",4,460,858
2016-W39,2016,39,19/09/2016,"1,906","1,862","1,988",983,"16,336",305,"1,972","7,036","10,733","1,008","11,094",81,522,743,77,"2,423",64,"2,665","1,442","7,351","1,852","4,674",355,"1,003",985,"1,601",55,4,740,"1,212","10,249",131,357,"1,887",5,417,837
2016-W40,2016,40,26/09/2016,"1,904","2,023","1,991",910,"16,352",282,"2,081","7,072","10,906",958,"11,158",91,550,760,69,"2,447",58,"2,686","1,469","7,368","1,856","4,768",369,"1,029",986,"1,598",47,9,741,"1,286","10,647",123,377,"1,885",6,524,936
2016-W41,2016,41,03/10/2016,"2,065","2,109","2,083","1,022","17,427",284,"2,047","7,036","11,495","1,029","12,362",96,537,795,85,"2,538",68,"2,933","1,556","7,456","1,879","5,103",390,992,"1,076","1,662",41,5,731,"1,271","10,993",109,360,"2,004",7,490,911
2016-W42,2016,42,10/10/2016,"2,041","2,111","2,142","1,040","17,599",313,"2,142","7,185","11,607",944,"12,060",88,593,814,80,"2,493",76,"2,744","1,607","7,658","2,026","5,187",375,"1,071",993,"1,750",50,6,786,"1,277","11,112",129,425,"2,011",4,546,889
2016-W43,2016,43,17/10/2016,"2,025","2,135","2,035",989,"17,586",313,"2,177","7,512","11,594",968,"11,816",98,478,810,71,"2,527",46,"2,952","1,522","7,499","1,971","5,033",395,"1,064","1,023","1,626",48,4,773,"1,230","11,012",121,403,"1,905",2,516,930
2016-W44,2016,44,24/10/2016,"2,088","2,078","1,997","1,003","17,580",303,"2,148","7,244","11,389",971,"11,744",110,556,794,72,"2,458",60,"2,732","1,484","7,646","1,939","5,092",341,"1,028","1,041","1,718",40,4,688,"1,313","11,444",130,445,"1,908",5,510,944
2016-W45,2016,45,31/10/2016,"2,093","2,141","1,968","1,017","17,782",330,"2,349","7,775","11,592","1,006","11,889",110,538,822,76,"2,471",62,"2,909","1,541","7,492","2,040","4,963",374,"1,017","1,069","1,717",48,4,810,"1,286","11,785",123,412,"1,922",3,542,979
2016-W46,2016,46,07/11/2016,"2,177","2,129","2,134","1,045","18,591",299,"2,244","8,076","11,919",984,"12,476",108,522,802,82,"2,483",66,"2,899","1,616","7,554","2,127","5,097",381,"1,063","1,004","1,771",49,5,818,"1,353","12,191",123,432,"1,983",7,585,966
2016-W47,2016,47,14/11/2016,"2,143","2,096","2,084","1,046","17,911",292,"2,431","8,090","11,632","1,007","12,146",112,571,776,73,"2,539",70,"2,911","1,550","7,706","2,197","5,088",366,"1,082","1,103","1,702",38,2,855,"1,193","12,035",103,440,"2,061",8,598,913
2016-W48,2016,48,21/11/2016,"2,191","2,148","2,125","1,010","18,146",284,"2,413","8,321","11,636",975,"12,205",107,534,752,79,"2,540",62,"2,953","1,601","7,753","2,388","5,126",357,"1,067","1,040","1,790",30,8,789,"1,331","11,877",126,469,"1,940",8,597,"1,073"
2016-W49,2016,49,28/11/2016,"2,221","2,299","2,200","1,043","18,793",286,"2,475","8,124","12,147","1,067","12,543",111,534,752,81,"2,635",67,"3,044","1,619","7,977","2,363","5,297",394,984,"1,037","1,842",43,4,819,"1,294","12,702",111,469,"1,965",7,678,"1,101"
2016-W50,2016,50,05/12/2016,"2,221","2,277","2,204","1,067","18,885",312,"2,414","8,612","12,508","1,157","13,262",107,528,759,86,"2,585",78,"3,138","1,670","7,837","2,526","5,356",347,"1,067","1,072","1,858",48,10,918,"1,301","12,182",159,454,"2,063",6,690,"1,172"
2016-W51,2016,51,12/12/2016,"2,321","2,435","2,435","1,060","19,376",309,"2,716","8,980","13,474","1,188","14,861",130,610,856,76,"2,845",78,"3,078","1,847","8,297","2,809","5,829",413,"1,200","1,179","1,868",52,5,923,"1,446","13,229",198,567,"2,401",9,784,"1,313"
2016-W52,2016,52,19/12/2016,"2,418","2,807","2,620","1,149","19,744",364,"2,875","9,855","14,659","1,263","16,489",151,571,873,93,"2,897",81,"3,333","2,160","8,874","3,200","6,253",466,"1,311","1,315","2,012",45,2,982,"1,589","9,313",193,514,"2,865",10,613,"1,346"
2017-W01,2017,01,01/01/2017,"2,557","3,174","2,763","1,113","20,918",364,"3,425","10,726","15,777","1,465","18,072",155,606,958,95,"3,155",103,"3,570","2,293","9,279","3,366","6,940",479,"1,411","1,273","2,149",35,7,"1,006","1,678","13,589",191,794,"3,184",9,215,"1,404"
2017-W02,2017,02,02/01/2017,"2,735","3,220","2,811","1,111","22,070",393,"3,680","11,414","15,953","1,621","18,990",176,616,979,123,"3,311",98,"3,637","2,340","10,225","2,967","6,977",536,"1,410","1,334","2,122",53,4,"1,048","1,731","15,496",203,798,"3,381",14,"1,114","1,249"
2017-W03,2017,03,09/01/2017,"2,645","2,817","2,833","1,099","21,236",386,"3,364","11,334","14,956","1,475","17,973",151,631,970,107,"3,449",117,"3,491","2,060","9,875","2,880","6,482",586,"1,390","1,209","2,060",46,5,928,"1,746","15,206",189,688,"2,992",9,736,"1,113"
2017-W04,2017,04,16/01/2017,"2,691","2,627","2,761","1,104","22,083",360,"3,082","11,068","15,033","1,369","16,487",161,567,953,101,"3,574",107,"3,627","1,938","9,946","2,995","6,304",569,"1,355","1,146","1,910",53,8,866,"1,657","14,446",146,605,"2,632",13,664,"1,068"
2017-W05,2017,05,23/01/2017,"2,950","2,526","2,598","1,211","23,640",392,"3,002","10,636","14,514","1,304","15,747",160,630,958,110,"3,616",94,"3,574","2,045","10,076","2,736","6,066",599,"1,339","1,116","1,883",48,5,914,"1,564","14,168",173,496,"2,527",5,618,"1,038"
2017-W06,2017,06,30/01/2017,"2,691","2,349","2,640","1,100","22,744",351,"2,790","9,660","13,650","1,164","14,081",175,623,923,92,"3,256",84,"3,446","1,874","9,432","2,453","5,725",523,"1,202","1,105","1,881",55,3,823,"1,592","13,788",143,460,"2,143",5,619,"1,047"
2017-W07,2017,07,06/02/2017,"2,631","2,357","2,492","1,228","22,683",344,"2,675","9,017","12,848","1,118","13,852",169,637,877,86,"2,991",77,"3,418","1,750","9,221","2,369","5,721",466,"1,224","1,122","2,010",56,5,845,"1,402","13,202",120,442,"2,180",4,598,"1,055"
2017-W08,2017,08,13/02/2017,"2,389","2,310","2,357","1,156","22,266",337,"2,523","8,670","12,231","1,072","13,290",143,695,905,71,"2,890",89,"3,328","1,807","9,053","2,237","5,593",459,"1,115","1,122","2,069",46,1,898,"1,383","13,325",133,472,"2,214",13,638,"1,021"
2017-W09,2017,09,20/02/2017,"2,315","2,141","2,353","1,179","20,930",304,"2,399","8,371","11,960","1,104","13,148",139,652,828,67,"2,668",63,"3,152","1,696","8,388","2,129","5,398",439,"1,159","1,082","1,989",35,7,863,"1,395","12,810",134,425,"2,108",11,583,"1,009"
2017-W10,2017,10,27/02/2017,"2,138","2,233","2,225","1,101","19,102",328,"2,405","8,213","11,699",983,"12,917",136,641,790,89,"2,671",78,"3,053","1,614","7,967","2,149","5,133",369,"1,002","1,048","1,830",40,5,822,"1,348","12,577",115,406,"2,021",8,549,"1,009"
2017-W11,2017,11,06/03/2017,"2,036","2,117","2,164","1,132","18,665",296,"2,444","7,906","11,254","1,035","12,783",117,567,763,75,"2,582",60,"2,845","1,542","7,709","2,151","5,079",397,"1,016","1,021","1,849",42,9,804,"1,262","12,076",115,391,"1,988",9,619,998
2017-W12,2017,12,13/03/2017,"2,106","2,118","2,103","1,126","17,640",304,"2,458","7,875","10,996","1,038","12,602",149,614,765,89,"2,584",71,"2,780","1,535","7,637","2,074","5,034",418,"1,092","1,063","1,692",48,4,788,"1,239","11,819",130,450,"1,967",7,588,954
2017-W13,2017,13,20/03/2017,"2,068","2,100","2,075","1,041","17,731",322,"2,253","7,827","11,009",969,"12,300",105,570,771,99,"2,546",74,"2,853","1,489","7,684","2,015","4,955",413,"1,017",980,"1,782",48,5,756,"1,183","11,434",114,372,"1,826",9,529,921
2017-W14,2017,14,27/03/2017,"1,969","2,084","2,069",988,"17,028",286,"2,363","7,814","10,880",995,"11,848",125,602,757,97,"2,422",68,"2,764","1,537","7,366","2,071","4,876",357,989,"1,059","1,794",35,5,809,"1,234","11,287",140,367,"1,955",9,570,"1,016"
2017-W15,2017,15,03/04/2017,"1,954","2,028","1,994","1,009","16,901",293,"2,363","7,800","10,872",970,"12,084",97,553,761,63,"2,492",70,"2,809","1,532","7,441","2,033","5,030",348,"1,024",998,"1,719",43,2,776,"1,201","9,747",127,377,"1,944",5,583,925
2017-W16,2017,16,10/04/2017,"1,917","2,118","2,043",967,"16,637",285,"2,367","7,574","10,916",996,"11,553",123,554,749,83,"2,527",69,"2,713","1,475","7,475","1,825","5,223",385,"1,008","1,055","1,768",51,2,758,"1,181","10,997",116,397,"2,059",4,545,995
2017-W17,2017,17,17/04/2017,"2,079","2,035","2,051",974,"17,634",267,"2,325","7,661","11,242","1,025","11,972",120,534,778,90,"2,480",62,"2,775","1,440","7,466","1,902","4,892",371,"1,023","1,002","1,772",38,5,816,"1,223","12,340",122,412,"1,985",3,515,931
2017-W18,2017,18,24/04/2017,"2,091","1,956","2,041","1,059","17,129",308,"2,265","7,520","11,096",999,"12,050",104,560,742,74,"2,479",66,"2,772","1,527","7,385","2,011","4,939",355,955,"1,078","1,696",46,6,745,"1,210","10,360",105,387,"1,926",4,574,962
2017-W19,2017,19,01/05/2017,"2,009","1,985","2,074","1,015","17,343",319,"2,159","7,622","10,941",925,"11,859",110,549,793,73,"2,340",67,"2,802","1,434","7,060","1,846","4,665",358,919,"1,047","1,724",45,2,733,"1,204","12,096",93,369,"1,889",4,434,810
2017-W20,2017,20,08/05/2017,"2,110","1,977","1,974","1,022","17,079",292,"2,030","7,494","10,865",931,"11,635",97,543,762,63,"2,323",58,"2,803","1,501","7,148","1,833","4,534",360,925,"1,000","1,584",40,7,694,"1,207","11,684",117,366,"1,885",3,562,835
2017-W21,2017,21,15/05/2017,"2,009","1,985","1,932",969,"16,451",290,"2,013","7,666","10,846",894,"11,538",112,488,771,72,"2,209",57,"2,776","1,327","7,074","1,922","4,447",347,916,991,"1,646",41,2,735,"1,186","11,403",121,382,"1,801",3,464,854
2017-W22,2017,22,22/05/2017,"1,981","2,054","2,033",956,"16,902",268,"2,212","7,092","10,375",984,"11,554",109,510,691,64,"2,382",65,"2,704","1,456","7,100","1,815","4,628",371,949,981,"1,620",41,4,688,"1,126","9,578",122,369,"1,965",8,478,879
2017-W23,2017,23,29/05/2017,"1,815","1,960","1,836",985,"15,846",293,"2,121","7,067","10,086",906,"10,878",110,551,723,76,"2,126",57,"2,625","1,312","6,892","1,826","4,709",348,858,"1,012","1,549",44,3,724,"1,108","11,109",123,393,"1,776",8,505,883
2017-W24,2017,24,05/06/2017,"1,868","1,917","1,978","1,023","16,087",262,"2,136","7,819","10,334",857,"11,494",85,498,703,86,"2,145",53,"2,646","1,421","6,830","1,969","4,434",342,918,"1,021","1,590",40,4,732,"1,120","10,656",121,322,"1,740",5,491,821
2017-W25,2017,25,12/06/2017,"2,101","1,957","2,042",980,"16,819",247,"2,170","7,991","11,076","1,004","11,700",89,515,723,66,"2,297",49,"2,629","1,476","7,255","2,139","4,647",348,923,991,"1,491",47,9,757,"1,196","10,908",116,363,"1,785",6,474,819
2017-W26,2017,26,19/06/2017,"1,821","2,294","1,939",938,"16,076",272,"2,732","7,137","9,926",933,"11,164",109,484,700,72,"2,136",65,"2,692","1,419","7,023","1,784","5,117",334,977,990,"1,587",43,7,733,"1,166","10,592",127,451,"1,888",4,476,901
